Pos,ID,Name,BV,SV,Team,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts,Elite%
M,271,Harness,4.9,4.9,Ipswich,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,272,Hirst,5.4,5.4,Ipswich,12,0.69,27,1.71,34,1.59,30,1.34,23,1.19,18,0.98,18,1.14,20,1.18,17,1.05,0.00
M,273,Humphreys,4.5,4.5,Ipswich,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,274,Hutchinson,5.2,5.2,Ipswich,84,2.78,81,3.31,79,2.56,78,2.43,77,2.49,75,2.60,73,2.89,73,2.85,72,2.86,0.00
D,275,Johnson,3.9,3.9,Ipswich,51,1.13,51,1.70,39,0.86,30,0.81,29,0.69,30,0.96,32,1.05,30,1.16,31,1.18,0.00
F,276,Ladapo,4.5,4.5,Ipswich,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,277,Luongo,4.4,4.4,Ipswich,0,0.00,1,0.11,2,0.12,3,0.17,3,0.17,3,0.19,3,0.19,3,0.20,3,0.21,0.00
M,278,Morsy,4.8,4.8,Ipswich,38,1.01,44,1.26,41,1.03,43,1.07,45,1.11,47,1.21,45,1.26,47,1.32,46,1.27,0.00
D,279,Ndaba,4.0,4.0,Ipswich,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,280,Slicker,3.9,3.9,Ipswich,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.01
M,281,Taylor,4.8,4.8,Ipswich,9,0.36,11,0.48,12,0.47,13,0.51,14,0.55,13,0.55,16,0.69,14,0.60,13,0.58,0.00
D,282,Tuanzebe,3.9,3.9,Ipswich,0,0.00,0,0.00,36,0.65,66,1.43,71,1.25,70,1.92,69,1.77,68,2.19,67,2.20,0.00
G,283,Walton,4.3,4.3,Ipswich,3,0.10,4,0.14,4,0.14,6,0.21,6,0.21,8,0.27,7,0.24,7,0.28,8,0.29,0.00
D,284,Woolfenden,3.9,3.9,Ipswich,31,0.64,30,0.94,26,0.50,23,0.54,22,0.41,24,0.68,25,0.66,24,0.82,27,0.89,0.00
M,285,B.Soumaré,4.4,4.4,Leicester,75,1.73,72,1.79,68,1.63,62,1.48,65,1.67,70,2.01,70,1.70,67,1.91,67,1.61,0.00
F,286,Cannon,4.5,4.5,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,287,Choudhury,4.4,4.4,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,288,Coady,4.0,4.0,Leicester,16,0.22,18,0.40,23,0.44,23,0.43,26,0.69,29,1.08,27,0.61,27,0.97,26,0.52,0.00
F,289,Daka,4.8,4.8,Leicester,29,1.31,30,1.49,34,1.54,34,1.51,34,1.61,35,2.06,34,1.51,34,1.87,33,1.52,0.00
M,290,De Cordova-Reid,5.2,5.2,Leicester,47,1.74,47,1.96,52,1.97,46,1.76,44,1.84,45,2.32,45,1.77,46,2.19,45,1.78,0.00
D,291,Faes,3.9,3.9,Leicester,88,0.96,86,1.78,83,1.39,81,1.37,80,1.99,78,2.98,79,1.65,79,2.77,78,1.38,0.02
M,292,Golding,4.4,4.4,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,293,Hermansen,4.4,4.4,Leicester,94,3.06,93,3.06,93,3.06,92,2.92,91,3.13,91,3.56,91,3.06,90,3.46,91,3.04,0.00
G,294,Iversen,3.9,3.9,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,295,Justin,4.1,4.1,Leicester,73,1.04,70,1.75,64,1.36,64,1.35,61,1.80,65,2.80,61,1.53,61,2.45,60,1.31,0.00
D,296,Kristiansen,4.4,4.4,Leicester,91,1.14,88,1.98,84,1.60,83,1.57,81,2.22,81,3.39,79,1.79,80,3.06,80,1.56,0.00
M,297,Marcal,4.5,4.5,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,298,Mavididi,5.0,5.0,Leicester,23,1.11,27,1.35,33,1.49,28,1.28,29,1.40,28,1.72,29,1.34,29,1.65,29,1.36,0.00
M,299,McAteer,4.7,4.7,Leicester,3,0.22,4,0.29,10,0.51,9,0.45,7,0.41,9,0.57,9,0.46,9,0.55,10,0.48,0.00
M,300,Ndidi,4.9,4.9,Leicester,82,2.10,78,2.25,76,2.07,74,2.04,73,2.12,73,2.58,71,2.00,71,2.38,71,1.97,0.00
D,301,Okoli,4.0,4.0,Leicester,15,0.22,16,0.38,19,0.40,21,0.43,22,0.61,23,0.88,23,0.57,25,0.89,26,0.55,0.00
D,302,Ricardo,4.1,4.1,Leicester,21,0.45,27,0.81,29,0.73,29,0.75,32,1.05,27,1.21,32,0.90,30,1.28,31,0.79,0.00
D,303,Souttar,4.0,4.0,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,304,Stolarczyk,4.0,4.0,Leicester,1,0.05,2,0.08,2,0.08,3,0.09,4,0.13,4,0.16,4,0.13,4,0.15,4,0.13,0.00
D,305,Thomas,3.9,3.9,Leicester,14,0.28,16,0.44,19,0.47,20,0.46,20,0.60,20,0.80,23,0.60,20,0.78,22,0.53,0.00
F,306,Vardy,5.3,5.3,Leicester,84,3.30,80,3.66,80,3.28,77,3.15,77,3.35,76,4.56,74,3.13,75,4.12,76,3.18,0.01
D,307,Vestergaard,3.9,3.9,Leicester,71,0.96,67,1.60,65,1.29,65,1.27,62,1.76,61,2.52,61,1.45,60,2.34,60,1.24,0.00
G,308,Ward,3.9,3.9,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,309,Winks,4.4,4.4,Leicester,33,1.05,38,1.26,41,1.25,42,1.28,42,1.32,39,1.44,40,1.23,39,1.40,40,1.22,0.00
G,310,A.Becker,5.6,5.6,Liverpool,94,4.29,90,3.69,88,3.95,85,3.82,85,3.50,85,3.25,84,3.90,83,2.71,82,3.53,0.12
D,311,Alexander-Arnold,7.4,7.4,Liverpool,0,0.00,0,0.00,0,0.00,31,2.03,54,3.25,68,3.07,67,3.67,67,2.61,67,3.94,0.30
M,312,Bajcetic,4.5,4.5,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,313,Bradley,4.7,4.7,Liverpool,34,1.92,52,2.38,78,4.29,56,3.15,39,1.99,28,1.12,29,1.36,28,0.99,28,1.41,0.00
M,314,Carvalho,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,9,0.61,0.00
